symbol,company,anex,acqName,date,pid,tkdAcqm,buyValue,sellValue,buyQuantity,sellquantity,secType,secAcq,did,tdpTransactionType,tdpDerivativeContractType,xbrl,personCategory,befAcqSharesNo,befAcqSharesPer,secVal,securitiesTypePost,afterAcqSharesNo,afterAcqSharesPer,acqfromDt,acqtoDt,intimDt,acqMode,derivativeType,exchange,remarks
GANESHIN,Ganesh Infraworld Limited,7(2),Starwings Realtors Private Limited,29-Jul-2025 19:21,1185521,,0,0,0,0,Equity Shares,296000,547200,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1185521_1497039_29072025072106_WEB.xml,Promoter Group,Nil,0,60062317,Equity Shares,296000,0.69,28-Jul-2025,28-Jul-2025,29-Jul-2025,Market Purchase,-,NSE,-
ECLERX,eClerx Services Limited,7(2),Eclerx Employee Welfare Trust,29-Jul-2025 18:52,1185518,,0,0,0,0,Equity Shares,3364,547197,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1185518_1496969_29072025065227_WEB.xml,Other,649174,1.36,12749366,Equity Shares,652538,1.36,28-Jul-2025,28-Jul-2025,29-Jul-2025,Market Purchase,-,NSE,-
MAHLIFE,Mahindra Lifespace Developers Limited,7(2),ALOK THAKUR,29-Jul-2025 18:34,1185516,,0,0,0,0,Equity Shares,3450,547195,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1185516_1496921_29072025063454_WEB.xml,Employees/Designated Employees,1050,0,1276500,Equity Shares,4500,0,25-Jul-2025,25-Jul-2025,29-Jul-2025,ESOP,-,NA,-
SENORES,Senores Pharmaceuticals Limited,7(2),Renosen Pharmaceuticals Private Limited,29-Jul-2025 18:26,1185513,,0,0,0,0,Equity Shares,3000,547192,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1185513_1496878_29072025062632_WEB.xml,Promoter Group,2702219,5.87,1935480,Equity Shares,2705219,5.87,28-Jul-2025,28-Jul-2025,28-Jul-2025,Market Purchase,-,NSE,-
SUNREST,Sunrest Lifescience Limited,7(2),BHARATKUMAR VARDHILAL THAKKAR,29-Jul-2025 18:00,1185510,,0,0,0,0,Equity Shares,99200,547189,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1185510_1496789_29072025060023_WEB.xml,Promoters,675000,15.73,5085984,Equity Shares,575800,13.41,28-Jul-2025,28-Jul-2025,29-Jul-2025,Market Sale,-,-,-
SIGACHI,Sigachi Industries Limited,7(2),RPS Industries Private Limited,29-Jul-2025 17:22,1185508,,0,0,0,0,Equity Shares,510000,547187,Pledge Invoke,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1185508_1496654_29072025052243_WEB.xml,Promoters,75317250,19.71,20206200,Equity Shares,74807250,19.58,24-Jul-2025,24-Jul-2025,28-Jul-2025,Invocation of pledge,-,NSE,-
DMART,Avenue Supermarts Limited,7(2),Pratibha Suresh Talesara,29-Jul-2025 17:18,1185506,,0,0,0,0,Equity Shares,20,547184,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1185506_1496643_29072025051802_WEB.xml,-,2285,0,80273,Equity Shares,2265,0,24-Jul-2025,24-Jul-2025,28-Jul-2025,Market Sale,-,NSE,-
DMART,Avenue Supermarts Limited,7(2),Pratibha Suresh Talesara,29-Jul-2025 17:18,1185506,,0,0,0,0,Equity Shares,175,547185,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1185506_1496643_29072025051802_WEB.xml,-,2265,0,698651,Equity Shares,2090,0,28-Jul-2025,28-Jul-2025,28-Jul-2025,Market Sale,-,NSE,-
SENORES,Senores Pharmaceuticals Limited,7(2),Chetan Bipinchandra Shah,29-Jul-2025 15:45,1185504,,0,0,0,0,Equity Shares,500,547181,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1185504_1496367_29072025034547_WEB.xml,Director,3550,0.01,331520,Equity Shares,4050,0.01,28-Jul-2025,28-Jul-2025,29-Jul-2025,Market Purchase,-,NSE,-
FONEBOX,Fonebox Retail Limited,7(2),RUSHI MANISHKUMAR PATEL,29-Jul-2025 15:44,1185502,,0,0,0,0,Equity Shares,11000,547179,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1185502_1496360_29072025034410_WEB.xml,Immediate relative,14000,0.14,1025410,Equity Shares,25000,0.24,24-Jul-2025,28-Jul-2028,29-Jul-2025,Market Purchase,-,NSE,-
KRISHNADEF,Krishna Defence And Allied Industries Limited,7(2),ANKUR ASHWIN SHAH,29-Jul-2025 12:31,1185500,,0,0,0,0,Equity Shares,200000,547177,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1185500_1496056_29072025123115_WEB.xml,Promoters,5253890,37.37,2000000,Equity Shares,5453890,36.56,25-Jul-2025,25-Jul-2025,28-Jul-2025,Conversion of security,-,NA,-
MONOLITH,Monolithisch India Limited,7(2),SHARMILA TEKRIWAL,29-Jul-2025 12:02,1185498,,0,0,0,0,Equity Shares,4000,547175,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1185498_1496017_29072025120233_WEB.xml,Promoters,16008,0.07,415,Equity Shares,20008,0.09,-,-,-,Market Purchase,-,NSE,-
HCLTECH,HCL Technologies Limited,7(2),HCL Corporation Private Limited,28-Jul-2025 18:36,1185496,,0,0,0,0,Equity Shares,4593104,547173,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1185496_1495600_28072025063619_WEB.xml,Promoters,4593104,0.17,7017890222,Equity Shares,Nil,0,22-Jul-2025,23-Jul-2025,24-Jul-2025,Inter-se-Transfer,-,NA,-
HCLTECH,HCL Technologies Limited,7(2),Kiran Nadar Museum of Art,28-Jul-2025 18:35,1185495,,0,0,0,0,Equity Shares,2300000,547172,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1185495_1495597_28072025063559_WEB.xml,Promoter Group,Nil,0,3512468000,Equity Shares,2300000,0.08,23-Jul-2025,23-Jul-2025,24-Jul-2025,Inter-se-Transfer,-,NA,-
HCLTECH,HCL Technologies Limited,7(2),Shiv Nadar Foundation,28-Jul-2025 18:35,1185494,,0,0,0,0,Equity Shares,2293104,547171,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1185494_1495590_28072025063521_WEB.xml,Promoter Group,Nil,0,3505422222,Equity Shares,2293104,0.08,22-Jul-2025,22-Jul-2025,24-Jul-2025,Inter-se-Transfer,-,NA,-
HDBFS,HDB Financial Services Limited,7(2),Jaideep Vijay Sahasrabuddhe,28-Jul-2025 18:26,1185493,,0,0,0,0,Equity Shares,1400,547170,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1185493_1495571_28072025062645_WEB.xml,-,12431,0,1096500,Equity Shares,11031,0,24-Jul-2025,24-Jul-2025,26-Jul-2025,Market Sale,-,NSE,-
HDBFS,HDB Financial Services Limited,7(2),Harish Venugopal,28-Jul-2025 18:26,1185493,,0,0,0,0,Equity Shares,17201,547169,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1185493_1495571_28072025062645_WEB.xml,-,89289,0.01,13838549,Equity Shares,72088,0.01,22-Jul-2025,22-Jul-2025,24-Jul-2025,Market Sale,-,NSE,-
WIPRO,Wipro Limited,7(2),Umesh Tejwani,28-Jul-2025 17:50,1185489,,0,0,0,0,ADR/GDR/FCCB,19909,547163,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1185489_1495465_28072025055019_WEB.xml,Employees/Designated Employees,19909,0,5053629,ADR/GDR/FCCB,Nil,0,24-Jul-2025,24-Jul-2025,25-Jul-2025,Market Sale,-,NA,-
WIPRO,Wipro Limited,7(2),Sonal Ramrakhiani,28-Jul-2025 17:50,1185489,,0,0,0,0,ADR/GDR/FCCB,43689,547164,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1185489_1495465_28072025055019_WEB.xml,Employees/Designated Employees,43689,0,11038119,ADR/GDR/FCCB,Nil,0,25-Jul-2025,25-Jul-2025,25-Jul-2025,Market Sale,-,NA,-
DBCORP,D.B.Corp Limited,7(2),D B Power Limited,28-Jul-2025 16:21,1185486,,0,0,0,0,Equity Shares,21037,547158,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1185486_1495170_28072025042151_WEB.xml,Promoter Group,1004481,0.56,5894875,Equity Shares,1025518,0.58,24-Jul-2025,24-Jul-2025,25-Jul-2025,Market Purchase,-,NSE,-
DBCORP,D.B.Corp Limited,7(2),D B Power Limited,28-Jul-2025 16:21,1185486,,0,0,0,0,Equity Shares,9000,547159,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1185486_1495170_28072025042151_WEB.xml,Promoter Group,1025518,0.58,2519771,Equity Shares,1034518,0.58,25-Jul-2025,25-Jul-2025,26-Jul-2025,Market Purchase,-,NSE,-
SYLVANPLY,Sylvan Plyboard (India) Limited,7(2),ANAND KUMAR SINGH,28-Jul-2025 15:59,1185484,,0,0,0,0,Equity Shares,73500,547155,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1185484_1495111_28072025035904_WEB.xml,Promoters,124515,0.64,87,Equity Shares,198015,1.02,23-Jul-2025,31-Jul-2025,25-Jul-2025,Gift,-,NA,-
FOCUS,Focus Lighting and Fixtures Limited,7(2),FLFL Employee Welfare Trust,28-Jul-2025 15:36,1185482,,0,0,0,0,Equity Shares,269604,547153,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1185482_1495060_28072025033625_WEB.xml,Other,386854,0.57,3397010,Equity Shares,117250,0.17,25-Jul-2025,25-Jul-2025,28-Jul-2025,ESOP,-,NSE,-
SYLVANPLY,Sylvan Plyboard (India) Limited,7(2),PRITHVI SINGH,28-Jul-2025 14:45,1185480,,0,0,0,0,Equity Shares,73500,547151,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1185480_1494972_28072025024510_WEB.xml,Promoter Group,73500,0.38,87,Equity Shares,Nil,0,23-Jul-2025,31-Jul-2025,25-Jul-2025,Gift,-,NA,-
DPSCLTD,DPSC Limited,7(2),Aksara Commercial Private Limited,28-Jul-2025 11:27,1185478,,0,0,0,0,Equity Shares,200000,547149,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1185478_1494754_28072025112743_WEB.xml,Promoter Group,61780741,6.35,2611126,Equity Shares,61580741,6.33,23-Jul-2025,24-Jul-2025,25-Jul-2025,Market Sale,-,NSE,-
MASFIN,MAS Financial Services Limited,7(2),Estate of Mukesh Chimanlal Gandhi,26-Jul-2025 19:49,1185476,,0,0,0,0,Equity Shares,48380139,547147,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1185476_1494622_26072025074958_WEB.xml,Promoter Group,Nil,0,0,Equity Shares,48380139,26.66,25-Jul-2025,25-Jul-2025,25-Jul-2025,Off Market,-,NA,-
DODLA,Dodla Dairy Limited,7(2),BOMMI SUREKHA REDDY,26-Jul-2025 14:45,1185474,,0,0,0,0,Equity Shares,465000,547144,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1185474_1494382_26072025024507_WEB.xml,Promoter Group,556733,0.92,594025810,Equity Shares,91733,0.15,25-Jul-2025,25-Jul-2025,26-Jul-2025,Market Sale,-,NSE,-
AIIL,Authum Investment & Infrastructure Limited,7(2),Mentor Capital Limited,25-Jul-2025 22:28,1185471,,0,0,0,0,Equity Shares,5800000,547142,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1185471_1494198_25072025102855_WEB.xml,Promoters,16390936,9.65,13070728040,Equity Shares,10590936,6.24,25-Jul-2025,25-Jul-2025,25-Jul-2025,Market Sale,-,BSE,-
GOCOLORS,Go Fashion (India) Limited,7(2),RAHUL SARAOGI,25-Jul-2025 18:40,1185468,,0,0,0,0,Equity Shares,150000,547139,Pledge,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1185468_1493874_25072025064038_WEB.xml,Promoters,9932320,18.39,128872500,Equity Shares,9932320,18.39,25-Jul-2025,25-Jul-2025,25-Jul-2025,Pledge Creation,-,NA,-
GOCOLORS,Go Fashion (India) Limited,7(2),RAHUL SARAOGI,25-Jul-2025 18:40,1185468,,0,0,0,0,Equity Shares,1116848,547138,Pledge Revoke,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1185468_1493874_25072025064038_WEB.xml,Promoters,9932320,18.39,985562518,Equity Shares,9932320,18.39,21-Jul-2025,21-Jul-2025,23-Jul-2025,Revokation of Pledge,-,NA,-
360ONE,360 ONE WAM LIMITED,7(2),Amit Garg,25-Jul-2025 18:21,1185466,,0,0,0,0,Equity Shares,3160,547135,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1185466_1493806_25072025062150_WEB.xml,Employees/Designated Employees,53000,0.01,3812407,Equity Shares,49840,0.01,21-Jul-2025,21-Jul-2025,23-Jul-2025,Market Sale,-,BSE,-
360ONE,360 ONE WAM LIMITED,7(2),Sanjay Wadhwa,25-Jul-2025 18:21,1185466,,0,0,0,0,Equity Shares,8500,547134,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1185466_1493806_25072025062150_WEB.xml,Employees/Designated Employees,8728,0,10247840,Equity Shares,228,0,21-Jul-2025,21-Jul-2025,23-Jul-2025,Market Sale,-,NSE,-
360ONE,360 ONE WAM LIMITED,7(2),Pankaj Fitkariwala,25-Jul-2025 18:21,1185466,,0,0,0,0,Equity Shares,2426,547133,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1185466_1493806_25072025062150_WEB.xml,Employees/Designated Employees,92426,0.02,2974000,Equity Shares,90000,0.02,21-Jul-2025,21-Jul-2025,23-Jul-2025,Market Sale,-,BSE,-
DMART,Avenue Supermarts Limited,7(2),Rajeshkumar Jain,25-Jul-2025 17:31,1185463,,0,0,0,0,Equity Shares,3745,547129,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1185463_1493643_25072025053129_WEB.xml,-,286734,0.04,15077370,Equity Shares,282989,0.04,24-Jul-2025,24-Jul-2025,24-Jul-2025,Market Sale,-,NSE,-
TAKE,Take Solutions Limited,7(2),TAKE Solutions PTE Ltd,25-Jul-2025 17:21,1185461,,0,0,0,0,Equity Shares,28107460,547127,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1185461_1493607_25072025052144_WEB.xml,Promoter Group,78253450,52.9,14053730,Equity Shares,50145990,33.9,22-Jul-2025,22-Jul-2025,24-Jul-2025,Off Market,-,-,-
TAKE,Take Solutions Limited,7(2),Asia Global Trading (Chennai) Private Limited,25-Jul-2025 17:11,1185459,,0,0,0,0,Equity Shares,28107460,547125,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1185459_1493586_25072025051124_WEB.xml,Promoter Group,Nil,0,14053730,Equity Shares,28107460,19,22-Jul-2025,22-Jul-2025,24-Jul-2025,Off Market,-,-,-
JSWSTEEL,JSW Steel Limited,7(2),JSW Steel Employees Welfare Trust ?  JSWSL OPJ Samruddhi  Plan 2021 A/c,25-Jul-2025 16:47,1185457,,0,0,0,0,Equity Shares,48,547123,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1185457_1493542_25072025044753_WEB.xml,Other,5823122,0.24,49205,Equity Shares,5823074,0.24,25-Jul-2025,25-Jul-2025,25-Jul-2025,Market Sale,-,NSE,-
JSWSTEEL,JSW Steel Limited,7(2),JSW Steel Employees Welfare Trust ?  JSWSL OPJ Samruddhi  Plan 2021 A/c,25-Jul-2025 16:47,1185457,,0,0,0,0,Equity Shares,119,547122,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1185457_1493542_25072025044753_WEB.xml,Other,5823241,0.24,122986,Equity Shares,5823122,0.24,24-Jul-2025,24-Jul-2025,25-Jul-2025,Market Sale,-,NSE,-
JSWSTEEL,JSW Steel Limited,7(2),JSW Steel Employees Welfare Trust ?  JSWSL OPJ Samruddhi  Plan 2021 A/c,25-Jul-2025 16:47,1185457,,0,0,0,0,Equity Shares,1300,547121,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1185457_1493542_25072025044753_WEB.xml,Other,5824541,0.24,1300,Equity Shares,5823241,0.24,23-Jul-2025,23-Jul-2025,24-Jul-2025,Off Market,-,NA,-
JSWSTEEL,JSW Steel Limited,7(2),JSW Steel Employees Welfare Trust ?  JSWSL OPJ Samruddhi  Plan 2021 A/c,25-Jul-2025 16:47,1185457,,0,0,0,0,Equity Shares,638,547120,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1185457_1493542_25072025044753_WEB.xml,Other,5825179,0.24,638,Equity Shares,5824541,0.24,22-Jul-2025,22-Jul-2025,24-Jul-2025,Off Market,-,NA,-
FONEBOX,Fonebox Retail Limited,7(2),RUSHI MANISHKUMAR PATEL,25-Jul-2025 16:46,1185456,,0,0,0,0,Equity Shares,9000,547119,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1185456_1493539_25072025044640_WEB.xml,Immediate relative,9000,0.09,853000,Equity Shares,18000,0.18,23-Jul-2025,24-Jul-2025,25-Jul-2025,Market Purchase,-,NSE,-
JBCHEPHARM,JB Chemicals & Pharmaceuticals Limited,7(2),Suresh Bhise,25-Jul-2025 16:41,1185453,,0,0,0,0,Equity Shares,8989,547113,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1185453_1493516_25072025044106_WEB.xml,Employees/Designated Employees,Nil,0,15191410,Equity Shares,8989,0.01,22-Jul-2025,22-Jul-2025,24-Jul-2025,ESOP,-,NA,-
JBCHEPHARM,JB Chemicals & Pharmaceuticals Limited,7(2),Nikhil Ashokkumar Chopra,25-Jul-2025 16:41,1185453,,0,0,0,0,Equity Shares,250000,547112,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1185453_1493516_25072025044106_WEB.xml,Director,50000,0.03,422500000,Equity Shares,300000,0.02,22-Jul-2025,22-Jul-2025,24-Jul-2025,ESOP,-,NA,-
FONEBOX,Fonebox Retail Limited,7(2),RUSHI MANISHKUMAR PATEL,25-Jul-2025 16:38,1185451,,0,0,0,0,Equity Shares,14000,547109,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1185451_1493505_25072025043813_WEB.xml,Immediate relative,Nil,0,1308300,Equity Shares,14000,0.14,15-Jul-2025,23-Jul-2025,25-Jul-2025,Market Purchase,-,NSE,-
FONEBOX,Fonebox Retail Limited,7(2),RUSHI MANISHKUMAR PATEL,25-Jul-2025 16:34,1185450,,0,0,0,0,Equity Shares,14000,547108,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1185450_1493487_25072025043428_WEB.xml,Immediate relative,Nil,0,1308300,Equity Shares,14000,0.14,15-Jul-2025,23-Jul-2025,25-Jul-2025,Market Purchase,-,NSE,-
NAUKRI,Info Edge (India) Limited,7(2),Info Edge Employees Stock Option Plan Trust,25-Jul-2025 15:13,1185446,,0,0,0,0,Equity Shares,3399,547106,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1185446_1493257_25072025031359_WEB.xml,Other,565419,0.09,6798,Equity Shares,562020,0.09,24-Jul-2025,24-Jul-2025,25-Jul-2025,ESOP,-,NA,-
M&M,Mahindra & Mahindra Limited,7(2),Rajiv Gupta,25-Jul-2025 15:01,1185444,,0,0,0,0,Equity Shares,2000,547104,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1185444_1493242_25072025030119_WEB.xml,Employees/Designated Employees,5106,0,6521800,Equity Shares,7106,0,24-Jul-2025,24-Jul-2025,25-Jul-2025,ESOP,-,NA,-
GEOJITFSL,Geojit Financial Services Limited,7(2),JERIN LAZAR,25-Jul-2025 12:21,1185442,,0,0,0,0,Equity Shares,24306,547100,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1185442_1493056_25072025122138_WEB.xml,Promoter Group,12,0,1831943,Equity Shares,24318,0.01,23-Jul-2025,23-Jul-2025,24-Jul-2025,Gift,-,NA,-
GEOJITFSL,Geojit Financial Services Limited,7(2),Lazar M A,25-Jul-2025 12:21,1185442,,0,0,0,0,Equity Shares,48611,547102,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1185442_1493056_25072025122138_WEB.xml,Promoter Group,48611,0.02,3663811,Equity Shares,Nil,0,23-Jul-2025,23-Jul-2025,24-Jul-2025,Gift,-,NA,-
GEOJITFSL,Geojit Financial Services Limited,7(2),JOEL LAZAR,25-Jul-2025 12:21,1185442,,0,0,0,0,Equity Shares,24305,547101,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1185442_1493056_25072025122138_WEB.xml,Promoter Group,3944,0,1831868,Equity Shares,28249,0.01,23-Jul-2025,23-Jul-2025,24-Jul-2025,Gift,-,NA,-
MONOLITH,Monolithisch India Limited,7(2),SHARMILA TEKRIWAL,25-Jul-2025 11:34,1185440,,0,0,0,0,Equity Shares,1000,547095,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1185440_1493018_25072025113407_WEB.xml,Promoters,8,0,400,Equity Shares,1008,0,-,-,-,Market Purchase,-,NSE,-
MONOLITH,Monolithisch India Limited,7(2),SHARMILA TEKRIWAL,25-Jul-2025 11:34,1185440,,0,0,0,0,Equity Shares,15000,547096,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1185440_1493018_25072025113407_WEB.xml,Promoters,8,0,418,Equity Shares,15008,0.07,-,-,-,Market Purchase,-,NSE,-
AVG,AVG Logistics Limited,7(2),Asha Gupta,25-Jul-2025 11:23,1185438,,0,0,0,0,Equity Shares,2910000,547092,Pledge,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1185438_1493000_25072025112350_WEB.xml,Promoters,5482500,36.41,829100000,Equity Shares,2572500,17.08,22-Jul-2025,22-Jul-2025,24-Jul-2025,Pledge Creation,-,NA,-
PAISALO,Paisalo Digital Limited,7(2),EQUILIBRATED VENTURE CFLOW PRIVATE LIMITED,25-Jul-2025 10:36,1185433,,0,0,0,0,Equity Shares,7470000,547090,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1185433_1492956_25072025103658_WEB.xml,Promoter Group,141388994,15.67,248563367,Equity Shares,148858994,16.5,24-Jul-2025,25-Jul-2025,25-Jul-2025,Market Purchase,-,NSE,-
M&M,Mahindra & Mahindra Limited,7(2),Rajesh Jejurikar,24-Jul-2025 23:13,1185430,,0,0,0,0,Equity Shares,42694,547088,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1185430_1492928_24072025111354_WEB.xml,Director,133062,0.01,139220865,Equity Shares,175756,0.01,24-Jul-2025,24-Jul-2025,24-Jul-2025,ESOP,-,NA,-
